,threshold,precision,recall,f1,accuracy
0,0.0,0.2025862068965517,1.0,0.33691756272401435,0.2025862068965517
1,0.025,0.20388349514563106,0.8936170212765957,0.33201581027667987,0.27155172413793105
2,0.05,0.2318840579710145,0.6808510638297872,0.3459459459459459,0.47844827586206895
3,0.075,0.24050632911392406,0.40425531914893614,0.30158730158730157,0.6206896551724138
4,0.1,0.24489795918367346,0.2553191489361702,0.25,0.6896551724137931
5,0.125,0.20833333333333334,0.10638297872340426,0.14084507042253522,0.7370689655172413
6,0.15,0.23076923076923078,0.06382978723404255,0.1,0.7672413793103449
7,0.175,0.2857142857142857,0.0425531914893617,0.07407407407407407,0.7844827586206896
8,0.2,0.0,0.0,0.0,0.7844827586206896
9,0.225,0.0,0.0,0.0,0.7887931034482759
10,0.25,0.0,0.0,0.0,0.7887931034482759
11,0.275,0.0,0.0,0.0,0.7974137931034483
12,0.3,0.0,0.0,0.0,0.7974137931034483
13,0.325,0.0,0.0,0.0,0.7974137931034483
14,0.35,0.0,0.0,0.0,0.7974137931034483
15,0.375,0.0,0.0,0.0,0.7974137931034483
16,0.4,0.0,0.0,0.0,0.7974137931034483
