,threshold,precision,recall,f1,accuracy
0,0.0,0.19047619047619047,1.0,0.32,0.19047619047619047
1,0.025,0.1962025316455696,0.96875,0.3263157894736842,0.23809523809523808
2,0.05,0.20869565217391303,0.75,0.32653061224489793,0.4107142857142857
3,0.075,0.2564102564102564,0.625,0.3636363636363636,0.5833333333333334
4,0.1,0.28846153846153844,0.46875,0.35714285714285715,0.6785714285714286
5,0.125,0.2647058823529412,0.28125,0.27272727272727276,0.7142857142857143
6,0.15,0.25925925925925924,0.21875,0.23728813559322032,0.7321428571428571
7,0.175,0.23809523809523808,0.15625,0.18867924528301888,0.7440476190476191
8,0.2,0.17647058823529413,0.09375,0.12244897959183672,0.7440476190476191
9,0.225,0.17647058823529413,0.09375,0.12244897959183672,0.7440476190476191
10,0.25,0.23076923076923078,0.09375,0.13333333333333333,0.7678571428571429
11,0.275,0.2,0.0625,0.09523809523809523,0.7738095238095238
12,0.3,0.25,0.0625,0.1,0.7857142857142857
13,0.325,0.14285714285714285,0.03125,0.05128205128205128,0.7797619047619048
14,0.35,0.14285714285714285,0.03125,0.05128205128205128,0.7797619047619048
15,0.375,0.14285714285714285,0.03125,0.05128205128205128,0.7797619047619048
16,0.4,0.14285714285714285,0.03125,0.05128205128205128,0.7797619047619048
